VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,United Arab Emirates,2020,15.16621872,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,United Kingdom of Great Britain and Northern Ireland,2020,2135.933425,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,United Republic of Tanzania,2020,1406.229173,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,United States of America,2020,8513.526981,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,Uruguay,2020,26542.07437,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,Uzbekistan,2020,488.2100121,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,Vanuatu,2020,32557.91239,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,Venezuela (Bolivarian Republic of),2020,28309.24527,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,Viet Nam,2020,3692.472231,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,Yemen,2020,70.40845352,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,Zambia,2020,4362.499799,m3/inhab/year,E,FALSE
Water resources,Internal renewable water resources,Total internal renewable water resources per capita,Zimbabwe,2020,824.8713376,m3/inhab/year,E,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Afghanistan,2020,327,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Albania,2020,1485,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Algeria,2020,89,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Angola,2020,1010,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Antigua and Barbuda,2020,1030,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Argentina,2020,591,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Armenia,2020,562,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Australia,2020,534,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Austria,2020,1110,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Azerbaijan,2020,447,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Bahamas,2020,1292,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Bahrain,2020,83,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Bangladesh,2020,2666,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Barbados,2020,1422,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Belarus,2020,618,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Belgium,2020,847,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Belize,2020,1705,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Benin,2020,1039,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Bhutan,2020,2200,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Bolivia (Plurinational State of),2020,1146,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Bosnia and Herzegovina,2020,1028,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Botswana,2020,416,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Brazil,2020,1761,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Brunei Darussalam,2020,2722,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Bulgaria,2020,608,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Burkina Faso,2020,748,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Burundi,2020,1274,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Cabo Verde,2020,228,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Cambodia,2020,1904,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Cameroon,2020,1604,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Canada,2020,537,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Central African Republic,2020,1343,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Chad,2020,322,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Chile,2020,1522,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,China,2020,645,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Colombia,2020,3240,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Comoros,2020,900,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Congo,2020,1646,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Costa Rica,2020,2926,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Croatia,2020,1113,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Cuba,2020,1335,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Cyprus,2020,498,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Czechia,2020,677,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Côte d'Ivoire,2020,1348,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Democratic People's Republic of Korea,2020,1054,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Democratic Republic of the Congo,2020,1543,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Denmark,2020,703,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Djibouti,2020,220,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Dominica,2020,2083,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Dominican Republic,2020,1410,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Ecuador,2020,2274,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Egypt,2020,18.1,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,El Salvador,2020,1784,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Equatorial Guinea,2020,2156,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Eritrea,2020,384,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Estonia,2020,626,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Eswatini,2020,788,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Ethiopia,2020,848,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Fiji,2020,2592,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Finland,2020,536,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,France,2020,867,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Gabon,2020,1831,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Gambia,2020,836,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Georgia,2020,1026,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Germany,2020,700,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Ghana,2020,1187,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Greece,2020,652,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Grenada,2020,2350,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Guatemala,2020,1996,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Guinea,2020,1651,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Guinea-Bissau,2020,1577,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Guyana,2020,2387,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Haiti,2020,1440,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Honduras,2020,1976,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Hungary,2020,589,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Iceland,2020,1940,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,India,2020,1083,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Indonesia,2020,2702,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Iran (Islamic Republic of),2020,228,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Iraq,2020,216,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Ireland,2020,1118,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Israel,2020,435,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Italy,2020,832,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Jamaica,2020,2051,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Japan,2020,1668,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Jordan,2020,111,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Kazakhstan,2020,250,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Kenya,2020,630,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Kuwait,2020,121,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Kyrgyzstan,2020,533,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Lao People's Democratic Republic,2020,1834,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Latvia,2020,667,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Lebanon,2020,661,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Lesotho,2020,788,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Liberia,2020,2391,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Libya,2020,56,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Lithuania,2020,656,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Luxembourg,2020,934,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Madagascar,2020,1513,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Malawi,2020,1181,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Malaysia,2020,2875,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Maldives,2020,1972,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Mali,2020,282,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Malta,2020,560,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Mauritania,2020,92,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Mauritius,2020,2041,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Mexico,2020,758,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Mongolia,2020,241,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Morocco,2020,346,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Mozambique,2020,1032,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Myanmar,2020,2091,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Namibia,2020,285,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Nepal,2020,1500,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Netherlands (Kingdom of the),2020,778,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,New Zealand,2020,1732,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Nicaragua,2020,2280,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Niger,2020,151,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Nigeria,2020,1150,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,North Macedonia,2020,619,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Norway,2020,1414,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Oman,2020,125,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Pakistan,2020,494,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Palestine,2020,402,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Panama,2020,2928,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Papua New Guinea,2020,3142,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Paraguay,2020,1130,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Peru,2020,1738,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Philippines,2020,2348,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Poland,2020,600,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Portugal,2020,854,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Puerto Rico,2020,2054,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Qatar,2020,74,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Republic of Korea,2020,1274,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Republic of Moldova,2020,450,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Romania,2020,637,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Russian Federation,2020,460,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Rwanda,2020,1212,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Saint Kitts and Nevis,2020,1427,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Saint Lucia,2020,2301,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Saint Vincent and the Grenadines,2020,1583,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Samoa,2020,2880,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Sao Tome and Principe,2020,3200,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Saudi Arabia,2020,59,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Senegal,2020,686,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Seychelles,2020,2330,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Sierra Leone,2020,2526,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Singapore,2020,2497,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Slovakia,2020,824,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Slovenia,2020,1162,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Solomon Islands,2020,3028,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Somalia,2020,282,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,South Africa,2020,495,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,South Sudan,2020,900,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Spain,2020,636,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Sri Lanka,2020,1712,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Sudan,2020,250,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Suriname,2020,2331,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Sweden,2020,624,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Switzerland,2020,1537,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Syrian Arab Republic,2020,252,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Tajikistan,2020,691,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Thailand,2020,1622,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Timor-Leste,2020,1500,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Togo,2020,1168,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Trinidad and Tobago,2020,2200,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Tunisia,2020,207,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Turkmenistan,2020,161,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Türkiye,2020,593,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Uganda,2020,1180,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Ukraine,2020,565,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,United Arab Emirates,2020,78,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,United Kingdom of Great Britain and Northern Ireland,2020,1220,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,United Republic of Tanzania,2020,1071,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,United States of America,2020,715,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Uruguay,2020,1300,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Uzbekistan,2020,206,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Vanuatu,2020,2000,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Venezuela (Bolivarian Republic of),2020,2044,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Viet Nam,2020,1821,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Yemen,2020,167,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Zambia,2020,1020,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in depth,Zimbabwe,2020,657,mm/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Afghanistan,2020,213.48522,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Albania,2020,41.17905,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Algeria,2020,211.974949,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Andorra,2020,0.4724,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Angola,2020,1259.167,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Antigua and Barbuda,2020,0.4532,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Argentina,2020,1643.2164,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Armenia,2020,16.71388,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Australia,2020,4133.81148,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Austria,2020,93.10569,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Azerbaijan,2020,38.7102,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Bahamas,2020,17.93296,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Bahrain,2020,0.06474,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Bangladesh,2020,393.42162,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Barbados,2020,0.61146,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Belarus,2020,128.30298,10^9 m3/year,E,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Belgium,2020,25.85891,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Belize,2020,39.16385,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Benin,2020,119.23564,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Bhutan,2020,84.458,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Bolivia (Plurinational State of),2020,1258.97268,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Bosnia and Herzegovina,2020,52.64388,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Botswana,2020,241.99968,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Brazil,2020,14996.27097,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Brunei Darussalam,2020,15.70594,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Bulgaria,2020,67.4576,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Burkina Faso,2020,205.11656,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Burundi,2020,35.45542,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Cabo Verde,2020,0.91884,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Cambodia,2020,344.70016,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Cameroon,2020,762.60576,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Canada,2020,5305.42575,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Central African Republic,2020,836.66214,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Chad,2020,413.448,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Chile,2020,1150.778112,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,China,2020,6192.008321,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Colombia,2020,3699.27,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Comoros,2020,1.6749,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Congo,2020,562.932,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Costa Rica,2020,149.5186,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Croatia,2020,62.98467,10^9 m3/year,E,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Cuba,2020,146.6898,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Cyprus,2020,4.6065,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Czechia,2020,53.39567377,10^9 m3/year,E,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Côte d'Ivoire,2020,434.67608,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Democratic People's Republic of Korea,2020,127.04916,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Democratic Republic of the Congo,2020,3618.11898,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Denmark,2020,30.17276,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Djibouti,2020,5.104,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Dominica,2020,1.56225,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Dominican Republic,2020,68.6247,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Ecuador,2020,582.98538,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Egypt,2020,18.126245,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,El Salvador,2020,37.53536,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Equatorial Guinea,2020,60.4758,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Eritrea,2020,46.70604557,10^9 m3/year,E,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Estonia,2020,28.38284,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Eswatini,2020,13.67968,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Ethiopia,2020,963.5311333,10^9 m3/year,E,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Fiji,2020,47.35584,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Finland,2020,181.41992,10^9 m3/year,E,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,France,2020,476.058429,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Gabon,2020,490.10377,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Gambia,2020,9.4468,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Georgia,2020,71.5122,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Germany,2020,250.075,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Ghana,2020,283.138671,10^9 m3/year,E,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Greece,2020,86.03792,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Grenada,2020,0.799,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Guatemala,2020,217.34444,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Guinea,2020,405.91486,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Guinea-Bissau,2020,56.97701,10^9 m3/year,I,FALSE
Water resources,Precipitation,Long-term average annual precipitation in volume,Guyana,2020,513.13339,10^9 m3/year,I,FALSE
